Title,Company_name,Location,Contract_type,Requirement,Salary,Technical_skills,Link_image,URL
[Hybrid - HCM] Senior DevSecOps - Platform Security Engineer,Navigos Search,"District 1, Ho Chi Minh City, Vietnam",Full-time,"Job description About us Our goal is to create a world where communities and individuals prosper. By enhancing our clients' financial security, we enable them to accomplish amazing feats like purchasing a house, starting a business, or setting aside money for various purposes. We are seeking a skilled Security Engineer to collaborate with our Security Partner in our Assurance Chapter to oversee and enhance our Platform's security controls posture by offering a thorough technical understanding of security threats and potential vulnerabilities. Responsibilities Assisting our teams in aligning and gathering data against rules to achieve operating effectiveness. Helping Assurance and Security Partner teams find ways to automate the gathering of evidence. Offering technical guidance to groups regarding the appropriate application of security setups, including IAM, network policies, API authentication, and other cloud-based components. Encouragement of the teams to create safe CI/CD pipelines Helping the Security Partners analyze vulnerabilities and Pen-test results that could impact parts of the solution that aren't application-code-specific. Specifying policies in assurance tooling as code. Testing novel security tools and implementations through proof of concept operations. Collaborating with other security engineers and penetration testers to assist in the creation of threat models and misuse scenarios.Job requirements Must have A desire to learn about and discuss new technical and security opportunities in a wide forum. Practical understanding of one or more security standards and frameworks. Experience with cloud engineering and familiar with cloud security standards. An understanding of the code review process, CI/CD tools, and software development life cycle. Capacity to write automation and policies in code. Participate in the discoveries, triage, and action suggestions of vulnerability management. Find fresh opportunities for security automation by applying your study and analytical abilities. Have the capacity to absorb and comprehend in-depth security requirements. Capable of solving day-to-day issues through efficient communication with both security and non-security parties. Fluent in English both verbal and non-verbal communication Nice to have Experience with security and compliance in financial services. An understanding of Kubernetes and Google Cloud Platform. Proficiency in creating safe guards for SaaS and PaaS-oriented services. Expertise in developing and constructing novel software systems and their integrations. Proficient in programming languages ​​like Go, Java, or comparable ones. Report design for stakeholders, with a focus on compliance and security posture. Salary and Benefit • Hybrid working mode (3 working days at office, flexible time) • 18 paid leaves/year • Insurance plan based on full salary • Attractive Package including 13th month salary and Performance bonus • 100% full salary and benefits as an official employee from the 1st day of working",$2500 - $3500,"SKILLDevOps, Security, Cloud Platform, English, Coding",https://www.vietnamworks.com/_next/image?url=https%3A%2F%2Fimages.vietnamworks.com%2Fpictureofcompany%2F4f%2F11211387.png&w=256&q=75,https://www.vietnamworks.com/hybrid-hcm-senior-devsecops-platform-security-engineer-1767417-jd?source=searchResults&searchType=2&placement=1767867&sortBy=date
Corebanking Professional - Information Technology Center,Ngân Hàng Thương Mại TNHH MTV Đại Dương,"Hanoi, Vietnam",Full-time,"Job description 1. Directly perform professional and professional tasks on FCC subsystems. 2. Analyze and develop products and test scenarios; perform testing; Confirm and evaluate FCC product test results (pilot and golive). 3. Analyze and develop relevant business requirements of the updated system in accordance with reality and meet the needs of each period. 4. Support users with related operations throughout the system. 5. Develop documents, regulations, procedures, and professional instructions of CoreBanking (FCC). 6. Participate in training and guidance on FCC operations of the subsystem in charge. 7. Perform other tasks as assigned by management.Job requirements - Graduated from University or higher, majoring in economics, engineering or equivalent major in the professional field. - Good knowledge, understanding of basic knowledge about banking products and services; core bank system, core card system, ebank system; - Understand, have knowledge, and be proficient in banking systems and applications; - Proactive, good thinking, able to analyze and evaluate problems, and provide solutions; Able to work in groups, build and organize implementation plans. - Able to coordinate teamwork; Have good presentation and persuasion skills; Ability to present official dispatches and documents concisely and clearly, complying with regulations and direction from superiors; - English: Ability to: read, speak, listen, and write to meet job requirements. - Proficient in using office information technology - Honest, hardworking, able to self-learn; Responsible and enthusiastic at work; Withstand high-intensity work pressure",Negotiable,"SKILLSoftware Engineering, Oracle Form, Oracle Database, Core Banking, IT",https://www.vietnamworks.com/_next/image?url=https%3A%2F%2Fimages.vietnamworks.com%2Fpictureofcompany%2Ff9%2F10176777.jpg&w=256&q=75,https://www.vietnamworks.com/chuyen-vien-nghiep-vu-corebanking-trung-tam-cong-nghe-thong-tin-1758692-jd?source=searchResults&searchType=2&placement=1759142&sortBy=date
IT Staff,Công Ty Cổ Phần Xây Dựng Tư Vấn Đầu Tư Bình Dương (Biconsi),"3rd Floor, Biconsi Tower, No. 1 Phu Loi Street, Phu Loi Ward, Thu Dau Mot City, Binh Duong Province",Full-time,"Job description • In charge of the Company's IT work: • Manage the company's network system. • Managing the company's website (changing the website interface, managing the company's internal pages) • Can build and develop the company's website and internal pages. • Website and internal page security. • Proposing to build software to serve the company. • Priority is given to candidates who know more about hardware installation, camera systems, and telephone switchboards. - Other work as assigned by leadership.Job requirements • Bachelor's degree in Information Technology/Computer Science, IT Engineer or higher; • Age: From 25 - 32 years old; • Experience: Priority is given to candidates with 3 or more years of working experience in the field of information technology, testing and repairing hardware, installing application software, camera systems, and telephone switchboards; • Diligent, hard-working, responsible, able to withstand work pressure.",Negotiable,"SKILLInformation Technology, IT Hardware, IT Helpdesk, IT System Administration, IT Software",https://www.vietnamworks.com/_next/image?url=https%3A%2F%2Fimages.vietnamworks.com%2Fpictureofcompany%2Fda%2F11267857.png&w=256&q=75,https://www.vietnamworks.com/nhan-vien-it--1762973-jd?source=searchResults&searchType=2&placement=1763423&sortBy=date
"Supervisor – Inventory & Data, Logistics Central (Hue Factory: Lot B8- Phu Bai Industrial Park - Hue)",Carlsberg Vietnam,Hue Factory: Lot B8 - Phu Bai Industrial Park - Hue,Full-time,"Job description p* Main purpose of the position This role plays a pivotal role in ensuring the accuracy and integrity of data related to various warehouse and logistics activities. This role mainly focuses on managing and optimizing data processes. * Job responsibilities: 1 /Data Management (Logistics Operation) - Ensure the precise recording of finished goods received from the factory, meticulously validating quantities and product details. - Implement rigorous checks and controls to maintain the integrity of inventory data, collaborating with team members to rectify any discrepancies promptly. - Synthesize warehouse diagram reports - control FIFO management from warehouses - DCs - to have a visual view products shelf life - Inventory value - Inventory turnover... - Process the report relating to forecast sales by daily, weekly, monthly... to provide timely consultation so that the operations teams can prepare timely loading, transportation, and OT plans - Process the analytical reports in terms of monthly logistics score card about logistics productivity (warehouse capacity, fork-lift utilization, rotation days of bottle) - Conduct in- depth data analyses, revealing patterns and correlations that contribute to enhanced warehouse/logistics operations. - Manage the comprehensive tracking of plastic pallets, empty returnable overseeing their movement in and out of the warehouse and updating relevant records accordingly. - Work closely with IT and ERP specialists to optimize data workflows and troubleshoot any system-related issues. 2/ Team Management: - Lead and a team of 7 data employees, providing clear directives and fostering a culture of data accuracy and excellence. - Conduct regular training sessions to keep the team abreast of the latest data management practices and tools. * Stakeholders & Relations: Brewery, Commercial, Finance, Procurement, Planning, Local Logistics/pJob requirements p• Proficient in ERP Navision / WMS / SAP EWM • Proficient in Excel, Power Query & Power BI • Experience with databases, model design transfer from offline to online • Strong analytical skills and attention to detail. • Leadership experience in managing a team. • Fluency in English verbal and writing • Knowledge of logistics operations is a plus • Proficient in SQL, Python, R are a plus. • Bachelor’s degree in relevant field, Supply Chain, or specializing in Logistics management of FMCG/p",Negotiable,"SKILLPower BI, WMS System, Excel, Python, Data Management",https://www.vietnamworks.com/_next/image?url=https%3A%2F%2Fimages.vietnamworks.com%2Fpictureofcompany%2F78%2F11125290.png&w=256&q=75,https://www.vietnamworks.com/supervisor-inventory-data-logistics-central-nha-may-hue-lo-b8-kcn-phu-bai-hue--1763294-jd?source=searchResults&searchType=2&placement=1763744&sortBy=date
Product Owner,Công Ty Cổ Phần Luklak,"Hanoi, Vietnam",Full-time,"Job description The Product Owner position has a huge impact, contributing to providing effective technology features and solutions to solve everyday real-life problems in work management and business operations management. 1) Job description Feature Research and Development - Research the market, customers, and competitors to make development proposals consistent with LukLak's product orientation. - Plan a product roadmap that balances the following factors: development orientation as well as LukLak's resources, customer needs, market situation, and competitors. - Collect and analyze specific, multidimensional data as a basis for providing features. Develop the necessary talents to work with Developer and QA Tester teams. - Be the main product focal point to work, coordinate and provide information related to all departments in the company such as marketing, sales, customer service... Work location: 168 Xa Dan 2, Nam Dong Ward, Dong Da District, Hanoi. Working hours: - Morning 8:30 am - 12:00 pm, Afternoon 1:30 pm - 6:00 pm. From Monday to Friday every week. Implementation Management - Act as the focal point to manage the implementation of feature development plans according to the Agile Scrum model, coordinating across Product, Developer, and Tester teams. - Set specific, feasible and comprehensive goals and targets to closely pursue the achievement of the set goals. - Thoroughly use data for analysis as well as interact regularly with relevant people to understand work progress, recognize risks early and quickly take action to correct them. Limit risks and promote work on schedule. Customers & Users Participate in coordinating with other departments such as marketing, sales, and implementation consulting in: - Bringing products to market, developing customers and revenue. - Consulting on implementing applications into businesses, improving customer experience and success. - Connect and listen to feedback from users to understand needs and orient appropriate product development.Job requirements **Requirements Required: - Required: candidates born in 92-2000, graduated from university or higher, priority given to top school groups - Have 3 years or more of experience working in the Product field (Business Analyst or Product Owner) or have profound experience about products, customers, and markets. - Priority is given to candidates with experience in Saas Product. - Have good skills in project management and analytical thinking and data-based problem solving. - Have systematic thinking and good analytical ability to analyze a variety of markets and existing external applications, analyze the needs of users and businesses, and then come up with models and processes. standards, product features as well as applications in business administration and work management. - Ability to work well with people, both in terms of exchange and interaction to grasp and analyze problems as well as promote work to be implemented with different human subjects. - Have a personal laptop (required). Priorities: - Have experience in thinking models and work management methods, such as Agile Scrum/ PMP/ OKR... - Have a natural and self-interest in philosophical thinking & management methods work - business operations and the application of software - technology to daily work management and operations. - Love big challenges along with enough romance and enthusiasm to be able to build a vision for big products from the early stages and be willing to put your head down and work fiercely to realize it. **Benefits - Attractive salary, commensurate with qualifications and work experience; up to 40 million - Receive founding shares for managers and team leaders when working in the early stages, ESOP preferential shares for qualified personnel and good results. - Learn English for free at AROMA - English for Working People. - Trained and oriented by industry-leading CEOs and experienced founders. - Digitized, transparent working process, with a clear achievement recognition system. - Enjoy full benefits according to State regulations such as social insurance and health insurance. - Bonus on holidays, New Year, 13th month salary, work efficiency bonus. Holidays, annual leave, teambuilding,... - Young, empowering working environment, unlimited creativity. - Office with lake view. There are dry foods, tea, coffee, and cakes for staff.",$1500 - $2000,"SKILLBusiness Analysis, SaaS, Agile Scrum, Data Analysis, Market Research",https://www.vietnamworks.com/_next/image?url=https%3A%2F%2Fimages.vietnamworks.com%2Fpictureofcompany%2F23%2F11110944.png&w=256&q=75,https://www.vietnamworks.com/product-owner--1762997-jd?source=searchResults&searchType=2&placement=1763447&sortBy=date
Software and ERP System Implementation Specialist,Công Ty Cổ Phần Dược Phẩm Vĩnh Phúc,"47 Mac Thai To, Cau Giay, Hanoi",Full-time,"Job description General job description: Collect information and analyze business: • Work with departments and units to identify and analyze job needs. • Consulting on application solutions to meet needs and optimize ERP system operations and interaction methods with other software. Analysis and change management: • Analyze new requirements and modify system features. • Update changes and adjust system parameters as required. Training and Support: • Declare and adjust system parameters according to business requirements. • Receive and resolve error messages from units. • Support deployment and administration of IT systems and work with software providers. • Train employees to use the solutions. • Participate in testing and acceptance of program features.Job requirements • Graduated with major in IT, Management Information Systems, Information Statistics, Electronics and Telecommunications, Finance. • Skills in planning, organizing teamwork, and traveling for business. • Good communication, hardworking, enthusiastic. • Willing to learn and learn new technology. • Preferred: SQL database and programming experience. • Experience implementing ERP for 1 year or more with modules: FICO (Finance); MM (Materials Management); SD (Sales Manager); WM (Warehouse Management); PP (Production Management)",Negotiable,"SKILLSAP, ERP",https://www.vietnamworks.com/_next/image?url=https%3A%2F%2Fimages.vietnamworks.com%2Fpictureofcompany%2F73%2F10234951.png&w=256&q=75,https://www.vietnamworks.com/chuyen-vien-trien-khai-phan-mem-va-he-thong-erp--1763051-jd?source=searchResults&searchType=2&placement=1763501&sortBy=date
Back-end Developer (Java),Công Ty Cổ Phần Luklak,"Hanoi, Vietnam",Full-time,"Job description - Participate in BackEnd development for a new model enterprise management and operations system project - seamless between all feature modules, while providing a synchronous solution between administration and coordination Do the job on a single tool. - Develop core product features including many highly challenging problems: Lock-free system, Full Asynchronous, building a search language, optimizing synchronization at large loads... - Coordinating construction APIs for front-end, bug fixing, system maintenance. - Work with the latest technologies including Elasticsearch, Kafka, Docker, Kubernetes...Job requirements ** Required requirements: - Required: candidates born in 93-2000, graduated from university or higher, major in IT, Computer Science, Math Information... - Have at least 2 years of experience working with Java. - Have good thinking, knowledge of computer science, data structures and algorithms, object orientation, proficient in using source code management tool (Git). - Experience in writing Unit tests, Integration tests. - Have a sense of responsibility at work and work well under high pressure. - Have personal laptop. ** Advantages if meeting: - Understanding of asynchronous programming and lock free. - Have understanding and use of PostgreSQL, Elasticsearch, Kafka, Vert.x, Hazelcast, Kubernetes, Jenkins,... - Good knowledge of linux, network. Benefits - Attractive salary, commensurate with qualifications and work experience: Up to 40 million VND/month. - Salary review every 6 months - Learn English for free at AROMA - English for Working People. - Trained and oriented by industry-leading CTOs and experienced founders. - Enjoy full benefits according to State regulations such as social insurance and health insurance. - Bonus on holidays, New Year, 13th month salary, work efficiency bonus. Holidays, annual leave, teambuilding,... - Office with lake view. There are dry foods, tea, coffee, and cakes for staff. - Young and dynamic environment, creating conditions to promote personal values.",$1500 - $2000,"SKILLPostgreSQL, Backend Programming, System Maintenance, Docker Machine, Unit Testing",https://www.vietnamworks.com/_next/image?url=https%3A%2F%2Fimages.vietnamworks.com%2Fpictureofcompany%2F23%2F11110944.png&w=256&q=75,https://www.vietnamworks.com/back-end-developer-java--1762998-jd?source=searchResults&searchType=2&placement=1763448&sortBy=date
Network Administrator,"Aggregation Network Technology CO., Limited",Hanoi,Full-time,"Job description Job Responsibilities: 1. Responsible for setting up and configuring the company's network, familiar with using routers and switches, and able to set up local networks independently; 2. Responsible for managing company computers and servers and can install operating systems such as windows and linux; 3. Responsible for the company's network security and information security management, understands the principles of network firewalls, and can configure basic firewall rules; 3. Responsible for managing company mobile phones and capable of operating basic iOS/Android system;岗位职责： 1.负责公司网络搭建及配置，熟悉路由器、交换机的使用，能独立组建局域网； 2 .负责公司电脑、服务器的管理，会安装windows、linux等操作系统； 3.负责公司网络安全及Contact会基本的IOS/Android系统操作；/p/p/pJob requirements Professional qualifications: 1. Highly graduated Bachelor's degree or higher majoring in computer or information management; 2. High sense of responsibility, high learning ability, problem analysis ability and communication ability, good service awareness; 3. Get familiar with configuring and maintaining computers and servers; 4. Be familiar with setting up and managing network devices such as routers, switches, and firewalls 5. Being able to communicate in Chinese is preferred 任职资格： 1.大专及以上学历，计算机或2.责任心强，具备较强的学习能力，问题分析能力和沟通能力，具备良好的服务意识； 3.熟悉电脑、服务器的配置、维护； 4.熟悉路由器，交换机，防火墙的网络设备的设置与管理 5.可以中文交流优先",$600 - $1000,"SKILL Server System Administration, Chinese, Network, Firewall, Computer Maintenance",https://images.vietnamworks.com/img/company-default-logo.svg,https://www.vietnamworks.com/network-administrator--1761480-jd?source=searchResults&searchType=2&placement=1761930&sortBy=date
Deputy CRM Manager,Tam Son International Joint Stock Company,"Ho Chi Minh, Ho Chi Minh City, Vietnam",Full-time,"Job description POSITION PURPOSE The Deputy CRM Manager is responsible for planning and executing CRM's activities in order to ensure a positive relationship between the company and its customers/partners. He/she should create new opportunities for business development through CRM’s activities within the Loyalty & Partnership function. SCOPE OF WORK / RESPONSIBLITIES 1. Prestige Client Management: • Work on personalized CRM strategies tailored to specific customer segments such as Elite Treatment program, Special occasions gifting, Birthday gifting for VIC and other campaigns for VIC. • Analyze customer data to create segments based on behavior, demographics, preferences, persona... and propose changes to improve the effectiveness of retention and upselling programs; increase customer satisfaction and loyalty. • Ensure seamless collaboration with RT and MKT to execute VIC client events. • Work closely with Marketing team to develop client communication schemes fulfill and amplify CRM objectives. • Supervise implementation of Brand's CRM guideline. • Manage CRM budget and KPIs. 2. Partner Management: • Identify, establish and nurture strategic partnerships with external businesses to acquire new potential customers through joint events and exclusive promotions. • Collaborate with RT and MKT team to implement effective strategies that capitalize on partnership opportunities to drive revenue. • Work with internal teams to ensure seamless integration of partnership benefits. • Track and manage partnership commitments, ensuring both parties derive maximum value. • Monitor and report on KPIs related to sales generated through partnerships.Job requirements 1 - Core Competencies • Customer connectedness and Customer centric mindset • Efficient problem-solving and Decision-making • Clear and effective communication • Emotional intelligence • High degree of organization and delegation • Integrity, Logical thinking, Objectivity • Time management, Priority management, Project management • Leadership • Training 2 - Skills • Graduated from economics, business administration, marketing or related fields • 4 years of proven working experience in customer segmentation, marketing, retail operations , private banking, guest relations or partnership management • Fluent in writing and speaking English (TOEIC 700, IELTS 6.5 or above) • Proficient in Microsoft Office 365 • Good synthesis, analysis and reporting • Hands on experience with CRM software/system • Event planning & execution is an advantage",Negotiable,"SKILLCRM, CRM Platform, CRM Development, CRM Microsoft Dynamics, Customer Support",https://www.vietnamworks.com/_next/image?url=https%3A%2F%2Fimages.vietnamworks.com%2Fpictureofcompany%2Fc7%2F11249834.png&w=256&q=75,https://www.vietnamworks.com/deputy-crm-manager--1759455-jd?source=searchResults&searchType=2&placement=1759905&sortBy=date
IT Helpdesk (Good English) - Junior Level,MiTek Việt Nam,"Sang Tao Street, Tan Thuan Export Processing Park, Tan Thuan Dong Ward, District 7, City. HCM",Full-time,"Job description 1. Why you'll love working here: - English training programs - Competitive compensation and benefit package - Young, dynamic international working environment 2. Job Description - Service Desk Specialist has primary day-to-day support responsibility for the company information systems and software applications support. This includes end-user support, service desk activities, problem resolution both on-site and remotely; - Service Desk Specialist works closely with IT partners including contractors, IT members of the company, region, global and users to provide solutions to immediate problems as well as working on ongoing projects and support. This includes gaining and maintaining knowledge expertise in software and hardware applications, systems support techniques, support procedures and contingency planning; - Good communication and writing skills, as well, as good rapport with people and ability to handle stressful circumstances is required - Service Desk Specialist is expected to project a strong company image by providing and promoting loyalty, dedication, presentation and professionalism through close interaction and direction with all staff members, customers and management. 3. Your role & responsibilities - Directly monitor, receive and resolve the required issues on the Service Desk system as specified in the SLAs - Service-Level Agreements; Actively troubleshoot technical problems by taking full ownership until an issue is resolved. Communicate technical solutions to peers, managers, and across the organization as needed; - Install and maintain operating systems and application software on users' computers; - Mobile device support, security, and maintenance (if applicable) - Assist in maintaining inventories of all equipment and software and establish standard configuration and operating procedures; - Ensure the accuracy and integrity of IT assets and software licenses; - Create and update documents and knowledge articles. - Cross train with other members of the IT section/ IT sub-contractors; - Develop proactive solutions and document instructions and procedures to reduce routine calls to the Service Desk; - Participate in projects for improving the effectiveness and goodwill of the IT Section; - Perform other reasonable duties as required.Job requirements 1. Qualifications/Experience: - University or College degree in Information Technology and other relevant majors. - 1 to 2 years of relevant experience (Junior Level) - Previous experience using ServiceNow, SCCM, PDQ. - English level (CEFR) B1 or equivalent is a plus - ITIL4 Foundation Certification desired (but not required) 2. Technical knowledge and skills: - Understanding of desktop support and OSI model and computer networking principles (Firewalls, Network Protocols, Subnetting). - Having knowledge of Windows 10, Windows Server, Active Directory, ADManager, Office 365 and other technologies (ie SQL/Virtual servers). - Knowledge of mobile computing platforms (Android, iOS). - Customer Service: Exceptional organizational skills and time management skills with a strong focus on customer service.",Negotiable,"SKILLInformation Technology, Technology, Desktop Hardware, Service Desk, English",https://www.vietnamworks.com/_next/image?url=https%3A%2F%2Fimages.vietnamworks.com%2Fpictureofcompany%2Ffa%2F11155573.png&w=256&q=75,https://www.vietnamworks.com/it-helpdesk-tieng-anh-kha-junior-level-1759593-jd?source=searchResults&searchType=2&placement=1760043&sortBy=date
Plc-S/w Software Programmer,Công Ty Trách Nhiệm Hữu Hạn Top Engineering VINA,"Hanoi, Vietnam",Full-time,"Job description Quantity: 8 Male Job - Programming PLC programs to control automation machines - Controlling motion shafts, controlling IO devices and other peripheral devices - Manufacturing, installing, repairing machines automation - And other related jobsJob requirements - Male, 20-40 years old - University degree or higher majoring in electricity, electronics, computer technology, automation,... - Have basic knowledge of Programming C, C+, C++, C#... - Able to travel on business to provinces: Hai Phong, Bac Ninh... - Know Korean or English fluently (send bilingual CV in English-Vietnamese or Korean-Vietnamese) - Able to work abroad: Korea, USA, European countries, Indonesia,.... etc. - Accept new graduates, with experience preferred - Salary: Negotiable Benefits - Salary, Attractive bonuses - Opportunities to train and work in Korea, America, Germany and other European countries - Professional, modern working environment Interested candidates please send your CV to email address and contact information HCNS (when sending CV, clearly state full name and position applied for + application location) Example: Tran Van A - PC software programmer - Hanoi)",Negotiable,"SKILLAutomation, PLC, Control Engineering, C++, C#",https://www.vietnamworks.com/_next/image?url=https%3A%2F%2Fimages.vietnamworks.com%2Fpictureofcompany%2F87%2F11190997.png&w=256&q=75,https://www.vietnamworks.com/nhan-vien-lap-trinh-phan-mem-plc-s-w--1759421-jd?source=searchResults&searchType=2&placement=1759871&sortBy=date
IT Officer,Habitat For Humanity International In Vietnam,"Floor 3A, Devspace building, 86-88 Le Van Duyet, ward 1, Binh Thanh district, HCMC",Full-time,"Job description Habitat Vietnam is committed to managing operations and stakeholders so as not to do harm to the community and beneficiaries. We are committed to preventing, monitoring and eliminating risks, and strictly handling violations (Safeguarding Policy). Therefore, our recruitment process will require candidates to provide criminal records and contact information of 03 managers they have worked with for reference check. We recruit people based on the suitable knowledge, skills, and experience compared to job requirements and the candidates' commitment to share Habitat's values. Recruitment and work opportunities are fair for candidates regardless of age, origin, race, religion, marital status, sexual orientation, physical or mental disability,... All potential candidates are welcome. However, your application form will be screened and only suitable candidates will be contacted. 1. Contributing to organizational (HfHV) sustainable development • Analyzing existing status and proposing solutions of suitable technical features of IT infrastructure (hardware, software, connection approaches) to non IT management for non-stop operations of the organization. • Support deployment of ERP from global to country level • Manage and maintain the organization's Office 365 services, including Exchange Online, Azure AD, SharePoint, and OneDrive. 2. Key functional responsibilities • Providing daily IT troubleshooting and support to enable users to operate well on their computers and connect to the network/system. • Conducting installation of IT equipment & providing technical assistance and guideline to computer users of HFHV to ensure effective usage and full compliance to HFHI license policy a. Oversee the daily performance of computer systems. b. Set up equipment for employee use, perform or ensure proper installation of cables, operating systems, or appropriate software. c. Install and perform minor repairs to hardware, software, or peripheral equipment, following design or installation specifications. d. Set up license management tool and periodically check un-licensed software in HFHV laptops & computers. • Analyzing, testing, troubleshooting, and evaluating existing network systems, such as local area network (LAN), wide area network (WAN), cloud and Internet systems or a segment of a network system. Perform network maintenance to ensure networks operate correctly with minimal interruption. a. Making Back up of network data b. Configuring security settings or access permissions for groups or individuals. c. Monitoring and maintaining network/router equipment of the organization along with upgrading to the latest stable firmware releases, securing network systems by establishing and enforcing policies/firewall, d. Maintaining or updating configuration of servers in 3 offices of HCMC, Hanoi, and Quang Nam to ensure smooth running/access to those servers at all the time • Managing HFH email accounts, including creating and disabling accounts as needed for new and departing staff members. Providing assistance to users in setting up email accounts, managing email features and functions, and ensuring compliance with HFHV email policies and procedures. Data Management: a. Plan, conduct and apply various approaches to ensure data are periodically backed up or saved on HFHV’s server/sharepoint b. Develop a metadata taxonomy that will be used to classify and organize documents. This should include a standardized set of metadata fields that are relevant to HFHV’s document management needs. Follow up and ensure website domain is continuously maintained and updated. c. Follow up anti-virus software update at individual computer/laptop. d. Conduct risk assessment & proposes solutions to ensure important data of HFHV are double protected for business continuity. e. Support Microsoft Teams, One Drive for Business, SharePoint Library/sites sync issues and work with the users to recover lost data. f. Under instructions from Country Director, set users’ permission to access data on server. g. Manage and develop the in-house Leave system • Work with suppliers for anti-virus license, email server, website hosting to ensure continuous updates and running. Managing purchases and payments of services to those suppliers • Studying and recommending suitable applications to enhance working/meeting/training effectiveness. • Delivering IT policies/regulations awareness/IT Usages/Cyber ​​security awareness training and regularly conducting refreshing to all staff. • Stay current with emerging technologies and industry trends, making recommendations for updates and upgrades as necessary. • Manage and maintain the organization's security and data management procedures to ensure the integrity and confidentiality. 3. IT Asset Management • Implement procurements of IT equipment, software, licenses in accordance with HFHV Procurement Policy & Procedure • Plan and manage IT asset management to ensure IT equipment are sufficiently covered by property insurance, non-use equipment liquidated properly. 4. Implementing cross-functions activities • In collaboration with Admin Officer and Finance team to complete annual asset inventory check. 5. Managing and implementing compliance • Complying with procedures and requirements of Procurement Policy to implement purchases of IT hardware, software and services. Making registration of assets where necessary for those purchased properties. • Study and abide with the requirements of Ethics Covenant, Safeguarding, Child Protection, PSEAH policies all the time of employment with Habitat and supporting implementation of these policy provisions. • Engage in and maintain a safe working relationships with colleagues and local partners in accordance with HFH Vietnam policies • Respect and preserve the rights ; dignities of all people, and protect our staff members, volunteers, partners, beneficiaries, research participants, and sexual community members (especially vulnerable adults and children) from bullying, sexual abuse & exploitation, and harassment. • Be able to recognize and be alert for the signs of potential safeguarding misconduct. Being an HFH employee, you have a responsibility to report potential safeguarding misconduct. *Working condition & context • The job requires office based working and frequent interaction with all levels in the organization, and multi-cultural and international standards within HFHI. This job also has some domestic & international travels as assigned by the Organization/p/pJob requirements Minimum education • College/University degree in either or both Network and Computer System or equivalent Technical competencies • Knowledge of circuit boards, processors, chips, electronic equipment , and computer hardware and software, including applications and programming. • Knowledge of transmission, broadcasting, switching, control, and operation of telecommunications systems. • Knowledge of risks identification and mitigations for network and data security. • Proficient in Microsoft Office 365, Azure AD, Onedrive, sharepoint and website administration, knowledge of power platforms (power apps, power automation) is an added advantage. • Minimum 2 years of experience in trouble shooting of network and computer system operations Business competencies • Proficient knowledge & skills in using word, excel, powerpoint, email, internet…. • Intermediate level of Organizing skills, • Good analytical thinking and Problem solving skills • Proficient business communication in both Vietnamese & English • Intermediate level of managing relationships Work style • The job requires Customer service oriented; • High sense of confidentiality and tasks ownership • Proactive self-development and continuous learning Physical condition • The job requires normal physical condition to work in office and also has some domestic & international travels as assigned by the Organization/p",Negotiable,"SKILLNetwork, Circuit Board, Electronic Equipment, Data Security, Azure AD",https://www.vietnamworks.com/_next/image?url=https%3A%2F%2Fimages.vietnamworks.com%2Fpictureofcompany%2F42%2F10802901.png&w=256&q=75,https://www.vietnamworks.com/it-officer--1759389-jd?source=searchResults&searchType=2&placement=1759839&sortBy=date
Market Measurement Executive (Nutrition Division),Abbott,"8th Fl., Melinh Point Tower, 02 Ngo Duc Ke St., Dist.1, HCMC",Full-time,"Job description - Market Measurement and Performance Tracking • Monitoring quality check for monthly/quarterly reports based on Retail data for 10 PA countries, to keep a consistent standard measurement & tracking of category sales across the region, and delivery on time with high accuracy. • Prepare regionalized and standardized reports for Area level with 10 PA countries in scope for ease of regional consolidation. • Support Measurement Manager in RLBE preparation cycle including consolidation & triangulation data across different sources, and performance monitoring vs Plan in PA level. • Perform and prepare monthly Decoding Market Landscape deck to provide insights to business stakeholders • Work and follow up with agency to ensure progress for automation projects. • Local dashboard as per business requirement - Projects/ad-hoc report/ customized analysis • Handle queries regarding to measurement methodology and provide professional consultation to stakeholders. • Support Measurement Manager in ad-hoc analysis/reports (new universe update analysis, new launch tracking in PA level….) • Analyze and understand problem root causes through different descriptive and statistical analysis techniques • Conduct ad-hoc analysis by request to keep track of category as well as brands performance • Manage and organize data information, such as: written and oral reports, graphs, charts and diagrams - - Administration & Documentation: • Work and follow up with internal / agency to ensure smooth operation • Support to Prepare and keep track on budget • Supervise temporary staffs to ensure all research projects comply with purchasing procedure and make payment for agency. • Ensure all business activities comply with the WHO code, Vietnam code, relevant Acts, legal demands, Abbott code of conduct and ethical standards.Job requirements • Bachelor Degree in Marketing/ Management/ Economics or related fields • 2-3 years experiences in market research/data analytics relevant position or Sounding proven market research analysis experience • Experience with Power BI, Excel, Microsoft PowerPoint and Word • Able to multitask, prioritize, and manage time efficiently • Strong analytical and critical thinking • Fast-Paced, Independent Thinker",Negotiable,"SKILLAnalytical Thinking, Analytical Data, Data Processing, Market Evaluation, Measurement Tools",https://www.vietnamworks.com/_next/image?url=https%3A%2F%2Fimages.vietnamworks.com%2Fpictureofcompany%2Fdb%2F11125410.png&w=256&q=75,https://www.vietnamworks.com/market-measurement-executive-nutrition-division-1759740-jd?source=searchResults&searchType=2&placement=1760190&sortBy=date
